query,strategy,config,use_query_enhancement,use_reranking,combination,gold_answer,rag_answer,correctness,faithfulness,completeness,conciseness,overall
איך משלמים ארנונה?,baseline,baseline,False,False,baseline,"עיריית חיפה מאפשרת לשלם ארנונה בכמה דרכים: באתר אינטרנט מאובטח בתשלום בכרטיס אשראי, בהוראת קבע מכרטיס אשראי (טופס מקוון), בהוראת קבע בבנק לאחר מילוי טופס חיוב חשבון, במוקד התשלומים הטלפוני 1-700-700-060 הפועל 24/7, ובקופת העירייה ובדלפקי אגף חיובי ארנונה.

ניתן לשלם את חשבונות הארנונה גם דרך פורטל התשלומים הארצי של הרשויות המקומיות, בתשלום מאובטח באמצעות כרטיס אשראי, ללא צורך בהרשמה וללא התקנת תוכנה.

תשלום הארנונה יכול להתבצע בתשלום אחד מראש, או בהסדר של 6 תשלומים במועדים קבועים במהלך השנה (1/1, 1/3, 1/5, 1/7, 1/9, 1/11). תשלום מראש עד 31 בדצמבר של השנה הקודמת מזכה בהנחה של 2% ועד 31 בינואר של שנת הכספים מזכה בהנחה של 1%. 

המוקד הטלפוני בנושא מיסים (ארנונה, מים ואגרת שירותים בחינוך) זמין לתושבים בטלפון 1-700-700-060: המענה הקולי הממוחשב לתשלומים פעיל 24 שעות ביממה, ומענה אנושי ניתן בימים א'–ה' בין 7:30 ל-14:30.","על בסיס המסמכים שסופקו לי, אין מידע המסביר כיצד ניתן לשלם את הארנונה. המסמכים עוסקים בנושאים הבאים:
*   **דוחות מבקר העירייה** (כגון דוחות על חברת גבייה מינהלית).
*   **תקציב העירייה** (ריכוזי הכנסות והוצאות).
*   **צווי מיסים** (תעריפים ובקשות לאישורים חריגים), המופיעים בקישור: [צווי מיסים - עיריית חיפה](https://www.haifa.muni.il/resident-service/arnona/taxes/).

אי לכך, איני יודע לענות על השאלה מתוך המידע הקיים.",0.0,0.0,0.0,1.0,0.0
מה שעות הפעילות של המוקד העירוני?,baseline,baseline,False,False,baseline,"מוקד עירוני 106 של עיריית חיפה פועל 24 שעות ביממה והוא זמין לדיווח על מפגעים עירוניים בכל שעות היום והלילה.

ניתן ליצור קשר עם מוקד עירוני 106 בטלפון המקוצר 106 או במספר 04-8356356, והמוקד עומד לרשות התושבים 24 שעות ביממה.

שירותי הווטסאפ והמסנג'ר של המוקד העירוני פועלים בימי א'–ה' בין השעות 07:00–19:00, ובסופי שבוע וחגים (כולל שבתות) בין 07:00–14:00.","על סמך המסמכים שסופקו, אין לי מידע לגבי שעות הפעילות של המוקד העירוני.",0.0,0.0,0.0,1.0,0.0
מהו מספר הטלפון של המוקד העירוני של עיריית חיפה?,baseline,baseline,False,False,baseline,"טלפון ישיר למוקד: 106 או 04-8356356
מחוץ לחיפה 04-8356860/1/2/3

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב:

טלפון: 1-700-700-060
שעות מענה: ימים א’ – ה’ בין השעות 7:30 – 14:30.

כתובת: רח' חסן שוקרי 14 היכל העירייה, קומת כניסה, חדר 112.

מענה טלפוני: בין השעות 08:30 – 15:00.

טלפון: 04-8356865

פקס: 04-8356440","על סמך המסמכים שסופקו לי, איני יודע מהו מספר הטלפון של המוקד העירוני.
המסמכים מזכירים את המוקד העירוני רק בהקשר של כותרות דוחות ביקורת (כגון דוח משנת 2011 בנושא ""המוקד העירוני"" ו-""מוקד עירוני - מעקב""), אך לא מציינים את פרטי ההתקשרות.

מידע זה מופיע תחת רשימת דוחות הביקורת באתר העירייה:
[מבקר העירייה - עיריית חיפה](https://www.haifa.muni.il/city-and-muni/freedom-of-information/comptroller/#block-module-3)",0.0,1.0,0.0,1.0,0.0
האם ניתן ליצור קשר עם המוקד העירוני בנושאים שונים?,baseline,baseline,False,False,baseline,"עיריית חיפה מזמינה אתכם לדווח על מפגעים עירוניים. אנו עומדים לרשותכם 24 שעות ביממה.

לשירות בנושאי ארנונה, מים (מי כרמל), מתן אישור לטאבו, אגרות שירותים בחינוך - יש ליצור קשר עם מוקד השירות לתושב

שירותי הווטסאפ והמסנג'ר פועלים בימי א' - ה', בין השעות 07:00 - 19:00.
בסופי שבוע וחגים (כולל שבתות), בין השעות 07:00 - 14:00.","על סמך המסמכים שסופקו לי, איני יודע את התשובה לשאלתך, שכן המידע בנושא יצירת קשר עם המוקד העירוני אינו מופיע בהם.",0.0,0.0,0.0,1.0,0.0
אם אני רוצה לשלם ארנונה — למי פונים?,baseline,baseline,False,False,baseline,"מוקד תשלומים – טלפון 1-700-700-060 (מענה אנושי: ימים א’ – ה’ בין השעות 07:30 – 14:30 | מענה ממוחשב: 24 שעות ביממה).

תשלום בהוראת קבע בבנק - יש למלא ולהחתים את סניף הבנק על טופס הוראה לחיוב חשבון הבנק.

באתר אינטרנט מאובטח - תשלום בכרטיס אשראי.","על סמך המסמכים שסופקו, לא מופיע מידע מפורש הכולל דרכי התקשרות או קישורים לביצוע תשלום ארנונה.

המידע הקיים במסמכים מתייחס ל:
1. **צווי מיסים** ותעריפים היסטוריים (לשנים 2015-2018) ובקשות לאישורים חריגים [מקור 1](https://www.haifa.muni.il/resident-service/arnona/taxes/).
2. דף **טפסי ארנונה**, אך התוכן המוצג אינו מפרט כיצד משלמים [מקור 2](https://www.haifa.muni.il/resident-service/arnona/forms/).
3. רשימת דוחות ביקורת משנת 2013 המזכירה את ""מחלקת תקבולים"" ו-""מרכז השירות לתושב"" כגופים מבוקרים, אך ללא פרטי קשר לתשלום [מקור 5](https://www.haifa.muni.il/ar/city-and-muni/freedom-of-information/comptroller/).

אי לכך, איני יודע מהם פרטי הקשר או הדרך לביצוע התשלום מתוך המידע הנתון.",0.0,0.0,0.0,0.5,0.0
אם אני רוצה להחליף מחזיק בנכס (למשל דירה שכורה) — איך מעדכנים את זה?,baseline,baseline,False,False,baseline,"לפנות למוקד הארנונה / מוקד השירות לתושב עם פרטי הנכס והדייר החדש, כדי לעדכן את רישומי הארנונה.

אפשר לפנות באמצעות טלפון או דואר־אלקטרוני (אם קיים) לשירות הארנונה ולעדכן את שינוי המחזיק.

לפעמים יש צורך למלא טופס העברת בעלות / מחזיק — ולשלוח אותו לעירייה (פיזית או דיגיטלית).","על סמך המסמכים שסופקו, אין מידע לגבי אופן ביצוע החלפת מחזיק בנכס. המסמכים הקיימים עוסקים בדיווחים על חזירי בר וברשימות של מבני באוהאוס בעיר.",0.0,0.0,0.0,1.0,0.0
"איך פונים לשירותים כלליים שאינם תשלומים — למשל תלונות, פניות, שירותים חברתיים?",baseline,baseline,False,False,baseline,"לפנות למוקד שירות / פניות הציבור של העירייה באמצעות טלפון או פקס/דוא״ל במידה ופורסם.

ניתן להגיע למשרדי השירות לתושב (או למרכז השירות) במקום — כדי לדבר עם נציג פנים אל פנים.

ניתן להגיש פנייה מקוונת (באמצעות טופס באתר) או לפתוח קריאה בדיווח ממערכת העירייה.","על סמך המסמכים שסופקו, איני יודע כיצד ניתן לפנות לשירותים כלליים, להגיש תלונות או לפנות לשירותים חברתיים.

המסמכים מכילים בעיקר שנתונים סטטיסטיים (כגון נתונים על רווחה, בריאות וחינוך ללא פרטי קשר) ומידע ספציפי הנוגע לבקשת החזר כספי מרשות החניה, אך לא מידע על יצירת קשר כללי עם העירייה.",0.0,0.0,0.0,1.0,0.0
"אם קיבלתי דוח פיקוח (חניה, פסולת, קנס וכו׳) — איך משלמים או מערערים?",baseline,baseline,False,False,baseline,"ניתן לשלם את הדוח דרך מוקד התשלומים של העירייה, בטלפון או באתר.

ש אפשרות לערער על הדוח — באמצעות מוקד האכיפה או הפניות המתאימות, לפי הנחיות העירייה.

אפשר להגיע אישית למחלקת אכיפה או שירות לתושב כדי לברר או להגיש בקשה לערעור.","על בסיס המידע שסופק לי במסמכים, איני יודע כיצד ניתן לשלם או לערער על דוחות פיקוח, חניה או פסולת. המסמכים שברשותי עוסקים בפעילות לצמצום הקונפליקט עם חזירי הבר ובמבני באוהאוס בעיר, ואינם מכילים מידע בנושא תשלום דוחות.",0.0,1.0,0.0,1.0,0.0
"איך מקבלים מידע על חינוך, גני ילדים ותכניות לימוד?",baseline,baseline,False,False,baseline,"לפנות למוקד השירות לתושב לשאלות חינוך.

לבדוק באתר העירייה את החלק המוקדש לחינוך וגני ילדים.

לפנות למחלקת החינוך העירונית כדי לקבל מענה אישי.","לצערי, המסמכים שסופקו לי אינם מכילים מידע בנושא חינוך, גני ילדים או תכניות לימוד. המידע הקיים עוסק בדיווחים על חזירי בר ומבני באוהאוס בעיר.",0.0,0.0,0.0,1.0,0.0
איך מזמינים תור מראש לשירותים כמו ארנונה או שירותים אחרים?,baseline,baseline,False,False,baseline,"אפשר להזמין תור דרך האתר.

יתן להזמין תור בטלפון למוקד השירות לתושב.

להגיע למרכז השירות ולבדוק זמינות פגישה במקום.","מצטער, אך המידע שסופק לי אינו מכיל הנחיות לגבי אופן הזמנת תורים לשירותי העירייה (כגון ארנונה). המסמכים הקיימים עוסקים בתנאי העסקה בעירייה ובדוחות מבקר העירייה.",0.0,0.0,0.0,1.0,0.0
